no,name,description,pest,growth_stage,severity,rule_role,is_core_symptom,recommended_for_rule,default_weight
1,Gejala sundep pada fase vegetatif,"Pucuk/anakan tengah layu, mengering, dan mudah dicabut pada fase vegetatif; khas serangan penggerek batang tahap sundep.",penggerek batang,vegetatif,ringan|sedang,severity_anchor,True,True,0.9
2,Gejala beluk / malai putih,"Malai pada fase generatif memutih, hampa, dan tegak karena pangkal malai rusak oleh larva penggerek batang.",penggerek batang,generatif,sedang|berat,severity_anchor,True,True,0.95
3,Lubang kecil pada batang atau pelepah,Terdapat lubang kecil pada pelepah/batang sebagai jalan masuk larva; perlu dikonfirmasi dengan bekas gerekan atau larva.,penggerek batang,vegetatif|generatif,ringan|sedang,identity,True,True,0.8
4,Serbuk gerekan di batang,Kotoran/serbuk gerekan terlihat di sekitar lubang atau sela pelepah akibat aktivitas larva di dalam batang.,penggerek batang,vegetatif|generatif,ringan|sedang,identity,True,True,0.85
5,Kelompok telur berambut,Massa telur penggerek batang di permukaan daun tertutup bulu halus coklat kekuningan.,penggerek batang,vegetatif|generatif,ringan,supporting,False,True,0.7
6,Anakan mati bertahap,Beberapa anakan dalam satu rumpun menguning lalu mati bertahap meski air tersedia.,penggerek batang,vegetatif,sedang|berat,severity_anchor,True,True,0.9
7,Batang rapuh dan mudah patah,Batang menjadi kosong/rapuh dan mudah patah akibat jaringan dalam rusak oleh larva.,penggerek batang,vegetatif|generatif,sedang|berat,damage,True,True,0.8
8,Malai kosong / bulir tidak terisi,Bulir pada malai tidak terisi; pada penggerek batang biasanya disertai malai putih/beluk atau pangkal malai rusak.,penggerek batang,generatif,sedang|berat,damage,True,True,0.85
9,Larva penggerek di dalam batang,Saat batang dibelah ditemukan larva putih krem/merah jambu di dalam ruas batang.,penggerek batang,vegetatif|generatif,ringan|sedang|berat,identity,True,True,0.95
10,Titik tumbuh mati,Titik tumbuh rusak sehingga daun baru berhenti muncul; kuat untuk penggerek batang vegetatif berat.,penggerek batang,vegetatif,berat,severity_anchor,True,True,1.0
11,Malai putih prematur / whitehead,Malai memutih prematur sementara daun bendera masih relatif hijau; istilah lapang: whitehead/beluk.,penggerek batang,generatif,sedang|berat,severity_anchor,True,True,0.95
12,Pangkal malai terpotong,"Pangkal malai di dalam batang terputus akibat makan larva, menyebabkan malai hampa/putih.",penggerek batang,generatif,berat,severity_anchor,True,True,1.0
13,Anakan produktif menurun,Jumlah anakan produktif/malai berkurang akibat kerusakan batang atau titik tumbuh.,penggerek batang,vegetatif|generatif,sedang,damage,True,True,0.75
14,Bekas makan pada jaringan dalam batang,Jika batang dibelah terlihat saluran/bekas makan larva pada jaringan dalam batang.,penggerek batang,vegetatif|generatif,sedang|berat,identity,True,True,0.9
15,Malai keluar tidak sempurna,Malai hanya keluar sebagian dari pelepah lalu mengering; dapat terjadi akibat kerusakan batang/malai.,penggerek batang,generatif,sedang,damage,True,True,0.8
16,Batang terasa kosong/lunak,Batang terasa tidak solid/kosong saat ditekan karena jaringan dalam rusak.,penggerek batang,vegetatif|generatif,sedang|berat,damage,True,True,0.75
17,Pola serangan mengelompok,Sundep/beluk muncul pada titik fokus dan menyebar mengelompok.,penggerek batang,vegetatif|generatif,sedang,supporting,False,True,0.6
18,Bercak coklat/hitam pada bulir,Noda coklat/hitam kecil pada kulit gabah akibat bekas tusukan walang sangit.,walang sangit,generatif,ringan|sedang,severity_anchor,True,True,0.85
19,Bulir hampa sebagian,Gabah tidak terisi penuh/separuh karena cairan bulir dihisap pada fase masak susu.,walang sangit,generatif,sedang,severity_anchor,True,True,0.9
20,Aroma khas walang sangit,Aroma menyengat khas muncul saat serangga terganggu di pertanaman.,walang sangit,generatif,ringan|sedang|berat,identity,True,True,0.8
