rule_code,rule_name,rule_description,pest,severity,growth_stage,symptoms
RULE-PB-BER-GEN-891599,penggerek batang - berat - generatif,Aturan diagnosis penggerek batang tingkat berat pada fase generatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,penggerek batang,berat,generatif,Pangkal Malai Terpotong;Gejala Beluk / Malai Putih;Larva Penggerek Di Dalam Batang;Bekas Makan Pada Jaringan Dalam Batang;Malai Kosong / Bulir Tidak Terisi;Batang Rapuh Dan Mudah Patah
RULE-WS-BER-GEN-6BA7D6,walang sangit - berat - generatif,Aturan diagnosis walang sangit tingkat berat pada fase generatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,walang sangit,berat,generatif,Bobot Gabah Menurun;Bulir Gagal Terisi Setelah Pembungaan;Nimfa Walang Sangit Pada Malai;Serangga Dewasa Walang Sangit;Gabah Berwarna Kapur;Malai Tetap Tegak Karena Bulir Ringan
RULE-WBC-BER-GEN-2EFA60,wereng batang cokelat - berat - generatif,Aturan diagnosis wereng batang cokelat tingkat berat pada fase generatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,wereng batang cokelat,berat,generatif,Hopperburn / Tanaman Seperti Terbakar;Rumpun Mati Serempak;Wereng Di Pangkal Batang;Jamur Jelaga Hitam Pada Pangkal Batang;Batang/tanaman Layu Meski Air Cukup;Pangkal Batang Coklat Tua
RULE-WBC-BER-VEG-DB8CCE,wereng batang cokelat - berat - vegetatif,Aturan diagnosis wereng batang cokelat tingkat berat pada fase vegetatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,wereng batang cokelat,berat,vegetatif,Hopperburn / Tanaman Seperti Terbakar;Rumpun Mati Serempak;Wereng Di Pangkal Batang;Jamur Jelaga Hitam Pada Pangkal Batang;Batang/tanaman Layu Meski Air Cukup;Pangkal Batang Coklat Tua
RULE-PB-BER-VEG-56D62B,penggerek batang - berat - vegetatif,Aturan diagnosis penggerek batang tingkat berat pada fase vegetatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,penggerek batang,berat,vegetatif,Titik Tumbuh Mati;Anakan Mati Bertahap;Larva Penggerek Di Dalam Batang;Bekas Makan Pada Jaringan Dalam Batang;Batang Rapuh Dan Mudah Patah;Batang Terasa Kosong/lunak
RULE-WBC-SED-VEG-CB59EC,wereng batang cokelat - sedang - vegetatif,Aturan diagnosis wereng batang cokelat tingkat sedang pada fase vegetatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,wereng batang cokelat,sedang,vegetatif,Tanaman Menguning Tiba-tiba;Area Serangan Melingkar;Wereng Di Pangkal Batang;Batang Lengket Oleh Embun Madu;Pertumbuhan Anakan Melambat;Batang/tanaman Layu Meski Air Cukup
RULE-PB-SED-GEN-AB3E3D,penggerek batang - sedang - generatif,Aturan diagnosis penggerek batang tingkat sedang pada fase generatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,penggerek batang,sedang,generatif,Gejala Beluk / Malai Putih;Malai Putih Prematur / Whitehead;Larva Penggerek Di Dalam Batang;Bekas Makan Pada Jaringan Dalam Batang;Malai Kosong / Bulir Tidak Terisi;Batang Rapuh Dan Mudah Patah
RULE-PB-SED-VEG-7B62D7,penggerek batang - sedang - vegetatif,Aturan diagnosis penggerek batang tingkat sedang pada fase vegetatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,penggerek batang,sedang,vegetatif,Anakan Mati Bertahap;Gejala Sundep Pada Fase Vegetatif;Larva Penggerek Di Dalam Batang;Bekas Makan Pada Jaringan Dalam Batang;Batang Rapuh Dan Mudah Patah;Anakan Produktif Menurun
RULE-WS-SED-GEN-0F6278,walang sangit - sedang - generatif,Aturan diagnosis walang sangit tingkat sedang pada fase generatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,walang sangit,sedang,generatif,Bulir Hampa Sebagian;Bercak Coklat/hitam Pada Bulir;Nimfa Walang Sangit Pada Malai;Serangga Dewasa Walang Sangit;Cairan Putih Keluar Dari Gabah;Gabah Lembek/kosong Saat Ditekan
RULE-WBC-SED-GEN-D558BA,wereng batang cokelat - sedang - generatif,Aturan diagnosis wereng batang cokelat tingkat sedang pada fase generatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,wereng batang cokelat,sedang,generatif,Tanaman Menguning Tiba-tiba;Area Serangan Melingkar;Wereng Di Pangkal Batang;Batang Lengket Oleh Embun Madu;Batang/tanaman Layu Meski Air Cukup;Daun Mulai Menguning Di Bagian Bawah
RULE-PB-RIN-VEG-84E12E,penggerek batang - ringan - vegetatif,Aturan diagnosis penggerek batang tingkat ringan pada fase vegetatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,penggerek batang,ringan,vegetatif,Gejala Sundep Pada Fase Vegetatif;Larva Penggerek Di Dalam Batang;Serbuk Gerekan Di Batang;Lubang Kecil Pada Batang Atau Pelepah;Kelompok Telur Berambut
RULE-WBC-RIN-GEN-BDC783,wereng batang cokelat - ringan - generatif,Aturan diagnosis wereng batang cokelat tingkat ringan pada fase generatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,wereng batang cokelat,ringan,generatif,Tanaman Tampak Kurang Segar Pada Siang Hari;Wereng Di Pangkal Batang;Daun Mulai Menguning Di Bagian Bawah;Daun Menggulung Ke Dalam;Malai Tampak Kurang Bernas;Pengisian Bulir Mulai Terganggu
RULE-WBC-RIN-VEG-250499,wereng batang cokelat - ringan - vegetatif,Aturan diagnosis wereng batang cokelat tingkat ringan pada fase vegetatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,wereng batang cokelat,ringan,vegetatif,Tanaman Tampak Kurang Segar Pada Siang Hari;Wereng Di Pangkal Batang;Daun Mulai Menguning Di Bagian Bawah;Daun Menggulung Ke Dalam
RULE-PB-RIN-GEN-FEC4C0,penggerek batang - ringan - generatif,Aturan diagnosis penggerek batang tingkat ringan pada fase generatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,penggerek batang,ringan,generatif,Malai Keluar Sebagian;Larva Penggerek Di Dalam Batang;Serbuk Gerekan Di Batang;Lubang Kecil Pada Batang Atau Pelepah;Kelompok Telur Berambut
RULE-WS-RIN-GEN-32168D,walang sangit - ringan - generatif,Aturan diagnosis walang sangit tingkat ringan pada fase generatif berdasarkan kombinasi gejala utama dan gejala pendukung di lapangan.,walang sangit,ringan,generatif,Bercak Coklat/hitam Pada Bulir;Nimfa Walang Sangit Pada Malai;Serangga Dewasa Walang Sangit;Cairan Putih Keluar Dari Gabah
